["trace/new_ddr3.txt"]
<Connected to /dev/ttyACM0>
*ddr_init:start
reset:assert
W0611100010,00008006 (LCPLL1_DDR_CLK_CFG)
R06000002c4=0000001f (DDRCTRL_RST)
W06000002c4,0000001f (DDRCTRL_RST)
R06000002c0=00000000 (DDRCTRL_CLK)
W06000002c0,0000001f (DDRCTRL_CLK)
R06000002c4=0000001f (DDRCTRL_RST)
W06000002c4,0000001b (DDRCTRL_RST)
W06001071b0,00000001 (UMCTL2_REGS_DFIMISC)
W0600107190,03898207 (UMCTL2_REGS_DFITMG0)
W0600107194,00040201 (UMCTL2_REGS_DFITMG1)
W06001071a0,40400003 (UMCTL2_REGS_DFIUPD0)
W06001071a4,004000ff (UMCTL2_REGS_DFIUPD1)
W0600107070,00000004 (UMCTL2_REGS_ECCCFG0)
W06001070d0,000200cc (UMCTL2_REGS_INIT0)
W06001070d4,00520000 (UMCTL2_REGS_INIT1)
W06001070dc,1f140004 (UMCTL2_REGS_INIT3)
W06001070e0,00200000 (UMCTL2_REGS_INIT4)
W06001070e4,000a0004 (UMCTL2_REGS_INIT5)
W0600107000,41040401 (UMCTL2_REGS_MSTR)
W0600107030,00000000 (UMCTL2_REGS_PWRCTL)
W0600107050,00210010 (UMCTL2_REGS_RFSHCTL0)
W0600107060,00000000 (UMCTL2_REGS_RFSHCTL3)
W0600107100,0e0c1c0f (UMCTL2_REGS_DRAMTMG0)
W0600107104,00030414 (UMCTL2_REGS_DRAMTMG1)
W0600107108,0305050a (UMCTL2_REGS_DRAMTMG2)
W060010710c,00502007 (UMCTL2_REGS_DRAMTMG3)
W0600107110,06020307 (UMCTL2_REGS_DRAMTMG4)
W0600107114,05050303 (UMCTL2_REGS_DRAMTMG5)
W0600107120,05050804 (UMCTL2_REGS_DRAMTMG8)
W0600107240,06000610 (UMCTL2_REGS_ODTCFG)
W0600107064,0065006d (UMCTL2_REGS_RFSHTMG)
W0600107200,0000001f (UMCTL2_REGS_ADDRMAP0)
W0600107204,00181818 (UMCTL2_REGS_ADDRMAP1)
